,index,Latitude,LatitudeDir,Longitude,LongitudeDir,Altitude,AltitudeUnit,Category
3361,3361,13.019816666666667,1,80.26496666666667,3,0.0,M,1
3362,3362,13.019633333333331,1,80.26501666666667,3,0.0,M,1
3363,3363,13.019466666666666,1,80.26506666666667,3,0.0,M,1
3364,3364,13.0193,1,80.26513333333334,3,0.0,M,1
3365,3365,13.019133333333333,1,80.26518333333334,3,0.0,M,1
