,index,UTC,Latitude,Longitude,Speed,TimeStamp,Date,Unknown,Label
count,8952.0,8952.0,8952.0,8952.0,8952.0,8952.0,8952.0,8952.0,8952.0
mean,7841.5,181303.21180786414,1301.0653042895442,8015.386472296694,40.59842493297586,181.19024798927614,140624.0,0.0,0.0
std,2584.3641384294124,7221.881366119857,0.4912030413040142,0.6803768512503217,32.48497257108245,104.33781836760036,0.0,0.0,0.0
min,3366.0,170429.727,1300.019,8013.84,0.0,0.0,140624.0,0.0,0.0
25%,5603.75,174147.477,1300.709,8014.88275,38.9,92.7,140624.0,0.0,0.0
50%,7841.5,181905.227,1301.217,8015.534,38.9,185.2,140624.0,0.0,0.0
75%,10079.25,185622.977,1301.441,8015.885,38.9,270.8,140624.0,0.0,0.0
max,12317.0,193340.727,1301.806,8016.426,1942.3,359.8,140624.0,0.0,0.0
