,min,max
index,0.0,3365.0
Latitude,13.016366666666666,13.0275
LatitudeDir,1.0,1.0
Longitude,80.25158333333333,80.26703333333333
LongitudeDir,3.0,3.0
Altitude,0.0,0.0
AltitudeUnit,,
