,index,Latitude,LatitudeDir,Longitude,LongitudeDir,Altitude,Category
248,3614,,,,,,
249,3615,,,,,,
250,3616,,,,,,
251,3617,,,,,,
252,3618,,,,,,
253,3619,,,,,,
254,3620,,,,,,
255,3621,,,,,,
256,3622,,,,,,
257,3623,,,,,,
258,3624,,,,,,
259,3625,,,,,,
260,3626,,,,,,
261,3627,,,,,,
262,3628,,,,,,
263,3629,,,,,,
264,3630,,,,,,
265,3631,,,,,,
266,3632,,,,,,
267,3633,,,,,,
268,3634,,,,,,
269,3635,,,,,,
270,3636,,,,,,
271,3637,,,,,,
272,3638,,,,,,
273,3639,,,,,,
274,3640,,,,,,
275,3641,,,,,,
276,3642,,,,,,
277,3643,,,,,,
278,3644,,,,,,
279,3645,,,,,,
280,3646,,,,,,
281,3647,,,,,,
282,3648,,,,,,
283,3649,,,,,,
284,3650,,,,,,
285,3651,,,,,,
286,3652,,,,,,
287,3653,,,,,,
288,3654,,,,,,
289,3655,,,,,,
290,3656,,,,,,
291,3657,,,,,,
292,3658,,,,,,
293,3659,,,,,,
294,3660,,,,,,
295,3661,,,,,,
296,3662,,,,,,
297,3663,,,,,,
298,3664,,,,,,
299,3665,,,,,,
300,3666,,,,,,
301,3667,,,,,,
302,3668,,,,,,
303,3669,,,,,,
304,3670,,,,,,
305,3671,,,,,,
306,3672,,,,,,
307,3673,,,,,,
308,3674,,,,,,
309,3675,,,,,,
310,3676,,,,,,
311,3677,,,,,,
312,3678,,,,,,
313,3679,,,,,,
314,3680,,,,,,
315,3681,,,,,,
316,3682,,,,,,
317,3683,,,,,,
318,3684,,,,,,
319,3685,,,,,,
320,3686,,,,,,
321,3687,,,,,,
322,3688,,,,,,
323,3689,,,,,,
324,3690,,,,,,
325,3691,,,,,,
326,3692,,,,,,
327,3693,,,,,,
328,3694,,,,,,
329,3695,,,,,,
330,3696,,,,,,
331,3697,,,,,,
332,3698,,,,,,
333,3699,,,,,,
334,3700,,,,,,
335,3701,,,,,,
336,3702,,,,,,
337,3703,,,,,,
338,3704,,,,,,
339,3705,,,,,,
340,3706,,,,,,
341,3707,,,,,,
342,3708,,,,,,
343,3709,,,,,,
344,3710,,,,,,
345,3711,,,,,,
346,3712,,,,,,
347,3713,,,,,,
348,3714,,,,,,
349,3715,,,,,,
350,3716,,,,,,
351,3717,,,,,,
352,3718,,,,,,
353,3719,,,,,,
354,3720,,,,,,
355,3721,,,,,,
356,3722,,,,,,
357,3723,,,,,,
358,3724,,,,,,
359,3725,,,,,,
360,3726,,,,,,
361,3727,,,,,,
362,3728,,,,,,
363,3729,,,,,,
364,3730,,,,,,
365,3731,,,,,,
366,3732,,,,,,
367,3733,,,,,,
368,3734,,,,,,
369,3735,,,,,,
370,3736,,,,,,
371,3737,,,,,,
372,3738,,,,,,
373,3739,,,,,,
374,3740,,,,,,
375,3741,,,,,,
376,3742,,,,,,
377,3743,,,,,,
378,3744,,,,,,
379,3745,,,,,,
380,3746,,,,,,
381,3747,,,,,,
382,3748,,,,,,
383,3749,,,,,,
384,3750,,,,,,
385,3751,,,,,,
386,3752,,,,,,
387,3753,,,,,,
388,3754,,,,,,
389,3755,,,,,,
390,3756,,,,,,
391,3757,,,,,,
392,3758,,,,,,
393,3759,,,,,,
394,3760,,,,,,
395,3761,,,,,,
396,3762,,,,,,
397,3763,,,,,,
398,3764,,,,,,
399,3765,,,,,,
400,3766,,,,,,
401,3767,,,,,,
402,3768,,,,,,
403,3769,,,,,,
404,3770,,,,,,
405,3771,,,,,,
406,3772,,,,,,
407,3773,,,,,,
408,3774,,,,,,
409,3775,,,,,,
410,3776,,,,,,
411,3777,,,,,,
412,3778,,,,,,
413,3779,,,,,,
414,3780,,,,,,
415,3781,,,,,,
416,3782,,,,,,
417,3783,,,,,,
418,3784,,,,,,
419,3785,,,,,,
420,3786,,,,,,
421,3787,,,,,,
422,3788,,,,,,
423,3789,,,,,,
424,3790,,,,,,
425,3791,,,,,,
426,3792,,,,,,
427,3793,,,,,,
428,3794,,,,,,
429,3795,,,,,,
430,3796,,,,,,
431,3797,,,,,,
432,3798,,,,,,
433,3799,,,,,,
434,3800,,,,,,
435,3801,,,,,,
436,3802,,,,,,
437,3803,,,,,,
438,3804,,,,,,
439,3805,,,,,,
440,3806,,,,,,
441,3807,,,,,,
442,3808,,,,,,
443,3809,,,,,,
444,3810,,,,,,
445,3811,,,,,,
446,3812,,,,,,
447,3813,,,,,,
448,3814,,,,,,
449,3815,,,,,,
450,3816,,,,,,
451,3817,,,,,,
452,3818,,,,,,
453,3819,,,,,,
