,index,Latitude,LatitudeDir,Longitude,LongitudeDir,Altitude,Category
index,6678938.0,-14.123022831713461,0.0,-11.719465858563206,0.0,0.0,0.0
Latitude,-14.123022831713461,6.7022341051754e-05,0.0,2.996499684901146e-05,0.0,0.0,0.0
LatitudeDir,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Longitude,-11.719465858563206,2.996499684901146e-05,0.0,0.0001285868499214723,0.0,0.0,0.0
LongitudeDir,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Category,0.0,0.0,0.0,0.0,0.0,0.0,0.0
