,min,max
index,3366.0,12317.0
Latitude,13.000316666666668,13.0301
LatitudeDir,1.0,1.0
Longitude,80.23066666666666,80.27376666666666
LongitudeDir,3.0,3.0
Altitude,0.0,0.0
AltitudeUnit,,
