,index,UTC,PositionStatus,Latitude,LatitudeDirection,Longitude,LongitudeDirection,Speed,TimeStamp,Date,Unknown,Zone,Label
12313,12313,193336.727,A,1300.291,N,8013.855,E,38.9,182.4,140624,0.0,W,0
12314,12314,193337.727,A,1300.281,N,8013.854,E,38.9,182.4,140624,0.0,W,0
12315,12315,193338.727,A,1300.27,N,8013.854,E,38.9,182.4,140624,0.0,W,0
12316,12316,193339.727,A,1300.259,N,8013.853,E,38.9,182.4,140624,0.0,W,0
12317,12317,193340.727,A,1300.248,N,8013.853,E,38.9,182.4,140624,0.0,W,0
